"ALL GROUPS","ALL GROUPS"
"Customer Group","Customer Group"
"Redirection Url","Redirection Url"
"Add New","Add New"
"Success Message","Success Message"
"View Notes on Redirection Url","View Notes on Redirection Url"
Production,Production
Development,Development
sec,sec
secs,secs
"Custom Redirect Pro v","Custom Redirect Pro v"
" by"," by"
"Need help? See our ","Need help? See our "
Blog,Blog
" or contact us via"," or contact us via"
form,form
" Got feedback? "," Got feedback? "
"Email us","Email us"
"You can find more extensions in our ","You can find more extensions in our "
Store,Store
"Need Support? Contact us","Need Support? Contact us"
"Notes on Redirection Url","Notes on Redirection Url"
MagePsycho,MagePsycho
Version,Version
Enabled,Enabled
"Domain Name","Domain Name"
"License Type","License Type"
"License Key (Development)*","License Key (Development)*"
"License Key (Production)*","License Key (Production)*"
"Debug Mode","Debug Mode"
Manual,Manual
"Login Redirect Settings","Login Redirect Settings"
"Default Login Redirection Url","Default Login Redirection Url"
"Group Wise Redirection Url","Group Wise Redirection Url"
"Logout Redirect Settings","Logout Redirect Settings"
"Default Logout Redirection Url","Default Logout Redirection Url"
"Remove Logout Intermediate Page","Remove Logout Intermediate Page"
"Logout Custom Message","Logout Custom Message"
"Logout Delay Time","Logout Delay Time"
"New Account Redirect Settings","New Account Redirect Settings"
"Default New Account Redirection Url","Default New Account Redirection Url"
"Default New Account Success Message","Default New Account Success Message"
"Group Wise Success Message","Group Wise Success Message"
"Misc Settings","Misc Settings"
"Newsletter Subscription Redirection Url","Newsletter Subscription Redirection Url"
"Redirect To Param","Redirect To Param"